Extended Id,Time,Value,ValueString,Status,Sent in March 2013
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,5/31/14 13:34,0,0,OK,
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 2:31,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 2:31:19 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 2:38,993,993,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 2:38:17 AM"",""993"",""993"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 6:56,993,993,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 6:56:58 AM"",""993"",""993"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 7:15,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 7:15:30 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 10:08,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 10:08:32 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 10:13,941,941,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 10:13:23 AM"",""941"",""941"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 10:15,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 10:15:12 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:14,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:14:13 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:22,891,891,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:22:20 AM"",""891"",""891"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:23,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:23:24 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:25,894,894,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:25:25 AM"",""894"",""894"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:27,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:27:06 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:30,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:30:07 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:31,885,885,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:31:30 AM"",""885"",""885"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:32,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:32:58 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:44,937,937,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:44:05 AM"",""937"",""937"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:45,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:45:06 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:46,881,881,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:46:08 AM"",""881"",""881"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:47,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:47:10 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:48,1230,1230,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:48:19 AM"",""1230"",""1230"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:49,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:49:32 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:51,880,880,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:51:36 AM"",""880"",""880"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:52,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:52:36 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:56,812,812,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:56:16 AM"",""812"",""812"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 11:57,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 11:57:59 AM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 12:05,1168,1168,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 12:05:25 PM"",""1168"",""1168"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 12:06,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 12:06:28 PM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 12:07,980,980,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 12:07:13 PM"",""980"",""980"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 12:08,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 12:08:56 PM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 12:10,946,946,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 12:10:35 PM"",""946"",""946"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 12:13,0,0,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 12:13:11 PM"",""0"",""0"",""OK"""
MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,6/1/14 12:16,914,914,OK,"MIAMI_SHORES.803439.FCI.36340A.I_FAULT.A_PH,""6/1/2014 12:16:16 PM"",""914"",""914"",""OK"""
