Extended Id,Time,Value,ValueString,Status,Sent in March 2013
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,11/30/14 20:22,1,NORMAL,OK - SET,
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 0:37,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:37:59 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 0:42,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:42:59 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 0:48,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:48:01 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 0:53,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:53:03 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 1:08,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 1:08:06 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 1:13,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 1:13:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 2:03,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 2:03:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 2:08,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 2:08:06 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 3:28,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 3:28:06 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 3:33,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 3:33:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 3:53,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 3:53:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 3:58,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 3:58:07 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 11:43,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 11:43:07 AM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 11:48,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 11:48:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 11:58,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 11:58:06 AM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 12:03,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:03:06 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 12:18,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:18:07 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 12:23,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:23:07 PM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 12:48,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:48:06 PM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 12:53,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 12:53:07 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 13:18,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 1:18:06 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 13:23,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 1:23:06 PM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 13:38,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 1:38:06 PM"",""0"",""ALARM"",""OK - NOT SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 13:43,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 1:43:06 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 19:53,1,NORMAL,OK - SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 7:53:07 PM"",""1"",""NORMAL"",""OK - SET"""
RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,12/1/14 19:58,0,ALARM,OK - NOT SET,"RED_ROAD.806841.FCI.12916C.IN_SCAN.C_PH,""12/1/2014 7:58:06 PM"",""0"",""ALARM"",""OK - NOT SET"""
