Extended Id,Time,Value,ValueString,Status,Sent in March 2013
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,5/31/14 18:36,0,0,OK,
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 9:50,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 9:50:51 AM"",""0"",""0"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 10:09,877,877,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 10:09:15 AM"",""877"",""877"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 10:10,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 10:10:28 AM"",""0"",""0"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 10:54,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 10:54:27 AM"",""0"",""0"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:10,838,838,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:10:22 AM"",""838"",""838"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:10,838,838,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:10:23 AM"",""838"",""838"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:11,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:11:23 AM"",""0"",""0"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:29,1034,1034,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:29:29 AM"",""1034"",""1034"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:30,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:30:44 AM"",""0"",""0"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:31,814,814,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:31:11 AM"",""814"",""814"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:32,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:32:11 AM"",""0"",""0"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:38,858,858,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:38:58 AM"",""858"",""858"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:39,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:39:58 AM"",""0"",""0"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:42,920,920,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:42:38 AM"",""920"",""920"",""OK"""
SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,6/1/14 11:43,0,0,OK,"SEABOARD.803634.FCI.363406A.I_FAULT.A_PH,""6/1/2014 11:43:41 AM"",""0"",""0"",""OK"""
